# BBB chip + line offset overrides for kernel 6.x + BONEIO-BLACK-PINS overlay.
#
# Format: HEADER,PIN,DIOZERO_CHIP,DIOZERO_LINE,KERNEL_CHIP,KERNEL_LINE
#
# Derived from:
#   - Diozero ti_am335x-bone.txt (kernel 4.x board definitions)
#   - Kernel 6.18.34-bone37 gpioinfo dump (gpiochip + line mapping)
#
# Diozero assigns chip/line offsets baked into PinInfo objects.
# Kernel 6.x gpiochip numbers AND line offsets differ for many pins.
#
# HOW TO DISCOVER YOUR MAPPING ON KERNEL 6.x:
#   gpiodump -c 0 -c 1 -c 2 -c 3
#   Or: gpioinfo /dev/gpiochip0   (repeat for chip 1,2,3)
#
# PINS NOT LISTED: diozero chip+line matches kernel 6.x — no override needed.
#
# KERNEL 4.x: If you're on kernel 4.x with cape-universal, diozero's board
#   definitions work as-is (no overrides). See
#   hardware-profiles/boneio/bbb-kernel4-bbb-chip-mappings.txt for the old
#   kernel chip assignment reference table.
#
# Verified on: kernel 6.18.34-bone37 (BeagleBoard.org Debian Trixie Base Image 2026-05-19)
#
P8,27,2,22,1,22
# P8_28: diozero chip=2, line=24 → kernel gpiochip1, line=24
P8,28,2,24,1,24
# P8_29: diozero chip=2, line=23 → kernel gpiochip1, line=23
P8,29,2,23,1,23
# P8_30: diozero chip=2, line=25 → kernel gpiochip1, line=25
P8,30,2,25,1,25
# P8_34: diozero chip=2, line=17 → kernel gpiochip1, line=17
P8,34,2,17,1,17
# P8_36: diozero chip=2, line=16 → kernel gpiochip1, line=16
P8,36,2,16,1,16
# P8_37: diozero chip=2, line=14 → kernel gpiochip1, line=14
P8,37,2,14,1,14
# P8_38: diozero chip=2, line=15 → kernel gpiochip1, line=15
P8,38,2,15,1,15
# P8_39: diozero chip=2, line=12 → kernel gpiochip1, line=12
P8,39,2,12,1,12
# P8_40: diozero chip=2, line=13 → kernel gpiochip1, line=13
P8,40,2,13,1,13
# P8_41: diozero chip=2, line=10 → kernel gpiochip1, line=10
P8,41,2,10,1,10
# P8_42: diozero chip=2, line=11 → kernel gpiochip1, line=11
P8,42,2,11,1,11
# P8_43: diozero chip=2, line=8 → kernel gpiochip1, line=8
P8,43,2,8,1,8
# P8_44: diozero chip=2, line=9 → kernel gpiochip1, line=9
P8,44,2,9,1,9
# P8_45: diozero chip=2, line=6 → kernel gpiochip1, line=6
P8,45,2,6,1,6
# P8_46: diozero chip=2, line=7 → kernel gpiochip1, line=7
P8,46,2,7,1,7
# ── Diozero chip 3 → Kernel chip 2 (P9_25, P9_27, P9_28, P9_29, P9_30, P9_31) ──
# P9_25: diozero chip=3, line=21 → kernel gpiochip2, line=21
P9,25,3,21,2,21
# P9_27: diozero chip=3, line=19 → kernel gpiochip2, line=19
P9,27,3,19,2,19
# P9_28: diozero chip=3, line=17 → kernel gpiochip2, line=17
P9,28,3,17,2,17
# P9_29: diozero chip=3, line=15 → kernel gpiochip2, line=15
P9,29,3,15,2,15
# P9_30: diozero chip=3, line=16 → kernel gpiochip2, line=16
P9,30,3,16,2,16
# P9_31: diozero chip=3, line=14 → kernel gpiochip2, line=14
P9,31,3,14,2,14
#
# ── Pins not in diozero board defs (chip=-1) → kernel gpiochips ──
# These pins exist in kernel 6.x device tree but have no entry in
# diozero's ti_am335x-bone.txt. Manually added from gpioinfo dump.
# P9_42A [IN_11]: diozero chip=-1 (not in defs) → kernel gpiochip3, line 7
P9,42,-1,-1,3,7
# P9_16 [IN_24]: diozero chip=-1 (not in defs) → kernel gpiochip0, line 19
P9,16,-1,-1,0,19
# P9_14 [IN_25]: diozero chip=-1 (not in defs) → kernel gpiochip0, line 18
P9,14,-1,-1,0,18
# P8_19 [IN_40]: diozero chip=-1 (not in defs) → kernel gpiochip3, line 22
P8,19,-1,-1,3,22

